"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","752","The notifications icon should be visible & clickable","","Tue Apr 29 17:09:15 CST 2025","passed","Tue Apr 29 17:09:15 CST 2025","","Play Store Test","",""
"","60","verify the notifications page is displayed","","Tue Apr 29 17:09:15 CST 2025","passed","Tue Apr 29 17:09:15 CST 2025","","Play Store Test","",""
"","1481","should open the Play Store","","Tue Apr 29 17:09:13 CST 2025","passed","Tue Apr 29 17:09:15 CST 2025","","Play Store Test","",""
